,Пол,Приоритет,Балл по математике,Балл по русскому языку,Балл по выбранному предмету,Балл за индивидуальные достижения,Наличие серебрянной медали,Наличие золотой медали,Средний балл по экзаменам,Сумма баллов,Процент от маскимального балла,Успеваемость
0,0,1,75,66,73,2,0,0,71.33333333333333,216,62.2478386167147,3
1,0,1,75,66,74,2,0,0,71.66666666666667,217,62.53602305475504,3
2,0,1,75,67,73,2,0,0,71.66666666666667,217,62.53602305475504,3
3,0,1,75,77,64,9,0,0,72.0,225,64.84149855907782,3
4,0,1,75,66,74,0,0,0,71.66666666666667,215,61.95965417867435,3
5,0,1,75,66,74,0,0,0,71.66666666666667,215,61.95965417867435,3
6,0,1,75,67,73,0,0,0,71.66666666666667,215,61.95965417867435,3
7,0,1,75,67,74,0,0,0,72.0,216,62.2478386167147,3
8,0,1,75,67,74,0,0,0,72.0,216,62.2478386167147,3
9,0,1,75,67,74,0,0,0,72.0,216,62.2478386167147,3
10,0,1,75,68,64,0,0,0,69.0,207,59.654178674351584,3
11,0,1,75,76,74,9,0,0,75.0,234,67.43515850144092,2
12,0,1,79,68,74,2,0,0,73.66666666666667,223,64.26512968299711,3
13,0,1,79,66,73,2,0,0,72.66666666666667,220,63.40057636887608,3
14,0,1,79,67,74,0,0,0,73.33333333333333,220,63.40057636887608,3
15,0,1,79,65,74,0,0,0,72.66666666666667,218,62.824207492795395,3
16,0,1,79,67,73,0,0,0,73.0,219,63.112391930835734,3
17,0,1,74,77,62,9,0,0,71.0,222,63.976945244956774,3
18,0,1,75,69,74,2,0,0,72.66666666666667,220,63.40057636887608,3
19,0,1,75,68,70,2,0,0,71.0,215,61.95965417867435,3
20,0,1,75,67,71,2,0,0,71.0,215,61.95965417867435,3
21,0,1,79,68,67,0,0,0,71.33333333333333,214,61.67146974063401,3
22,0,1,78,65,74,2,0,0,72.33333333333333,219,63.112391930835734,3
23,0,1,79,68,68,0,0,0,71.66666666666667,215,61.95965417867435,3
24,0,1,75,67,68,0,0,0,70.0,210,60.51873198847262,3
25,0,1,79,66,68,0,0,0,71.0,213,61.38328530259366,3
26,0,1,75,67,70,1,0,0,70.66666666666667,213,61.38328530259366,3
27,0,1,79,68,71,0,0,0,72.66666666666667,218,62.824207492795395,3
28,0,1,79,68,70,0,0,0,72.33333333333333,217,62.53602305475504,3
29,0,1,77,68,73,1,0,0,72.66666666666667,219,63.112391930835734,3
30,0,1,77,68,73,0,0,0,72.66666666666667,218,62.824207492795395,3
31,0,1,78,68,74,0,0,0,73.33333333333333,220,63.40057636887608,3
32,0,1,78,68,74,0,0,0,73.33333333333333,220,63.40057636887608,3
33,0,1,74,76,74,9,0,0,74.66666666666667,233,67.14697406340058,2
34,0,1,78,66,74,1,0,0,72.66666666666667,219,63.112391930835734,3
35,0,1,75,68,71,0,0,0,71.33333333333333,214,61.67146974063401,3
36,0,1,75,68,69,0,0,0,70.66666666666667,212,61.09510086455331,3
37,0,1,79,66,71,0,0,0,72.0,216,62.2478386167147,3
38,0,1,79,67,69,0,0,0,71.66666666666667,215,61.95965417867435,3
39,0,1,77,66,74,0,0,0,72.33333333333333,217,62.53602305475504,3
40,0,1,77,67,74,0,0,0,72.66666666666667,218,62.824207492795395,3
41,0,1,77,67,73,0,0,0,72.33333333333333,217,62.53602305475504,3
42,0,1,77,67,74,0,0,0,72.66666666666667,218,62.824207492795395,3
43,0,1,77,66,73,0,0,0,72.0,216,62.2478386167147,3
44,0,1,79,65,74,9,0,0,72.66666666666667,227,65.4178674351585,2
45,0,1,78,67,74,0,0,0,73.0,219,63.112391930835734,3
46,0,1,75,67,71,0,0,0,71.0,213,61.38328530259366,3
47,0,1,73,77,63,2,0,0,71.0,215,61.95965417867435,3
48,0,1,75,74,64,2,0,0,71.0,215,61.95965417867435,3
49,0,1,73,66,74,0,0,0,71.0,213,61.38328530259366,3
50,0,1,78,68,71,2,0,0,72.33333333333333,219,63.112391930835734,3
51,0,1,79,65,72,0,0,0,72.0,216,62.2478386167147,3
52,0,1,73,67,74,0,0,0,71.33333333333333,214,61.67146974063401,3
53,0,1,73,68,74,0,0,0,71.66666666666667,215,61.95965417867435,3
54,0,1,75,68,74,3,0,0,72.33333333333333,220,63.40057636887608,3
55,0,1,74,66,62,0,0,0,67.33333333333333,202,58.21325648414985,3
56,0,1,75,66,75,2,0,0,72.0,218,62.824207492795395,3
57,0,1,75,65,75,2,0,0,71.66666666666667,217,62.53602305475504,3
58,0,1,75,74,74,7,0,0,74.33333333333333,230,66.28242074927954,2
59,0,1,75,69,74,0,0,0,72.66666666666667,218,62.824207492795395,3
60,0,1,75,69,74,0,0,0,72.66666666666667,218,62.824207492795395,3
61,0,1,75,63,74,2,0,0,70.66666666666667,214,61.67146974063401,3
62,0,1,75,65,74,4,0,0,71.33333333333333,218,62.824207492795395,3
63,0,1,75,66,74,4,0,0,71.66666666666667,219,63.112391930835734,3
64,0,1,73,77,64,2,0,0,71.33333333333333,216,62.2478386167147,3
65,0,1,78,68,68,0,0,0,71.33333333333333,214,61.67146974063401,3
66,0,1,78,68,68,0,0,0,71.33333333333333,214,61.67146974063401,3
67,0,1,75,75,64,6,0,0,71.33333333333333,220,63.40057636887608,3
68,0,1,79,69,73,0,0,0,73.66666666666667,221,63.68876080691642,3
69,0,1,75,69,64,0,0,0,69.33333333333333,208,59.94236311239193,3
70,0,1,79,67,72,0,0,0,72.66666666666667,218,62.824207492795395,3
71,0,1,78,67,65,1,0,0,70.0,211,60.80691642651297,3
72,0,1,75,74,75,2,0,0,74.66666666666667,226,65.12968299711815,3
73,0,1,78,66,65,0,0,0,69.66666666666667,209,60.23054755043228,3
74,0,1,79,74,74,9,0,0,75.66666666666667,236,68.01152737752162,2
75,0,1,78,67,68,0,0,0,71.0,213,61.38328530259366,3
76,0,1,75,76,62,0,0,0,71.0,213,61.38328530259366,3
77,0,1,79,68,67,6,0,0,71.33333333333333,220,63.40057636887608,3
78,0,1,78,68,69,0,0,0,71.66666666666667,215,61.95965417867435,3
79,0,1,78,68,71,0,0,0,72.33333333333333,217,62.53602305475504,3
80,0,1,75,77,70,6,0,0,74.0,228,65.70605187319885,2
81,0,1,73,69,74,2,0,0,72.0,218,62.824207492795395,3
82,0,1,76,66,74,0,0,0,72.0,216,62.2478386167147,3
83,0,1,76,66,74,0,0,0,72.0,216,62.2478386167147,3
84,0,1,76,66,73,0,0,0,71.66666666666667,215,61.95965417867435,3
85,0,1,76,68,73,0,0,0,72.33333333333333,217,62.53602305475504,3
86,0,1,76,68,74,0,0,0,72.66666666666667,218,62.824207492795395,3
87,0,1,76,68,73,0,0,0,72.33333333333333,217,62.53602305475504,3
88,0,1,75,66,75,0,0,0,72.0,216,62.2478386167147,3
89,0,1,75,68,75,0,0,0,72.66666666666667,218,62.824207492795395,3
90,0,1,74,68,74,0,0,0,72.0,216,62.2478386167147,3
91,0,1,74,66,74,0,0,0,71.33333333333333,214,61.67146974063401,3
92,0,1,75,74,68,2,0,0,72.33333333333333,219,63.112391930835734,3
93,0,1,79,68,71,9,0,0,72.66666666666667,227,65.4178674351585,2
94,0,1,75,65,68,6,0,0,69.33333333333333,214,61.67146974063401,3
95,0,1,77,67,71,0,0,0,71.66666666666667,215,61.95965417867435,3
96,0,1,74,67,64,0,0,0,68.33333333333333,205,59.0778097982709,3
97,0,1,74,67,74,0,0,0,71.66666666666667,215,61.95965417867435,3
98,0,1,74,67,74,0,0,0,71.66666666666667,215,61.95965417867435,3
99,0,1,74,67,74,0,0,0,71.66666666666667,215,61.95965417867435,3
100,0,1,78,68,64,0,0,0,70.0,210,60.51873198847262,3
101,0,1,75,67,75,0,0,0,72.33333333333333,217,62.53602305475504,3
102,0,1,75,67,75,0,0,0,72.33333333333333,217,62.53602305475504,3
103,0,1,79,69,66,9,0,0,71.33333333333333,223,64.26512968299711,3
104,0,1,79,66,74,4,0,0,73.0,223,64.26512968299711,3
105,0,1,79,66,74,4,0,0,73.0,223,64.26512968299711,3
106,0,1,76,67,74,0,0,0,72.33333333333333,217,62.53602305475504,3
107,0,1,76,67,74,0,0,0,72.33333333333333,217,62.53602305475504,3
108,0,1,75,68,76,0,0,0,73.0,219,63.112391930835734,3
109,0,1,77,66,74,9,0,0,72.33333333333333,226,65.12968299711815,2
110,0,1,77,66,74,9,0,0,72.33333333333333,226,65.12968299711815,2
111,0,1,78,67,74,9,0,0,73.0,228,65.70605187319885,2
112,0,1,75,77,73,0,0,0,75.0,225,64.84149855907782,3
113,0,1,75,77,73,0,0,0,75.0,225,64.84149855907782,3
114,0,1,75,70,59,2,0,0,68.0,206,59.36599423631124,3
115,0,1,74,66,67,0,0,0,69.0,207,59.654178674351584,3
116,0,1,75,64,73,9,0,0,70.66666666666667,221,63.68876080691642,3
117,0,1,75,72,74,9,0,0,73.66666666666667,230,66.28242074927954,2
118,0,1,75,72,64,9,0,0,70.33333333333333,220,63.40057636887608,3
119,0,1,77,77,76,9,0,0,76.66666666666667,239,68.87608069164266,2
120,0,1,77,67,59,0,0,0,67.66666666666667,203,58.501440922190206,3
121,0,1,75,74,63,0,0,0,70.66666666666667,212,61.09510086455331,3
122,0,1,75,71,65,9,0,0,70.33333333333333,220,63.40057636887608,3
123,0,1,75,71,74,2,0,0,73.33333333333333,222,63.976945244956774,3
124,0,1,75,80,75,9,0,0,76.66666666666667,239,68.87608069164266,2
125,0,1,75,74,73,0,0,0,74.0,222,63.976945244956774,3
126,0,1,75,72,74,2,0,0,73.66666666666667,223,64.26512968299711,3
127,0,1,75,68,77,0,0,0,73.33333333333333,220,63.40057636887608,3
128,0,1,75,68,77,0,0,0,73.33333333333333,220,63.40057636887608,3
129,0,1,75,77,64,4,0,0,72.0,220,63.40057636887608,3
130,0,1,75,69,68,0,0,0,70.66666666666667,212,61.09510086455331,3
131,0,1,79,68,75,0,0,0,74.0,222,63.976945244956774,3
132,0,1,76,77,74,9,0,0,75.66666666666667,236,68.01152737752162,2
